label,sentence
negative, ‘कम-रेड’हरूमाथि कति सटीक ब्यंग्य
negative,   बडो दुखको कुरा गर्नुभयो  हार्दिक श्रद्दान्जलि तपाइको आमालाइ तर यो लुटेराको देश्मा न्यायको लागि दुख नपाउनुहोला 
negative, यो  ले हानेर मेरो आमाको उपचारको क्रममा मृत्यु भयो
negative, किनकि ती नर्स भए त्यहि घमण्डले खान्छ भित्र भितै झन सरकारी नर्सका त कुरै छोड्नुस महारानी हुन ति
positive, सरले अस्ति पढेको कुरा एस्तै गरी  पस्किदै जानुहोला 
neutral, खै त ताली 
neutral,    च्याउ सरी उमरिएको र कानुन विपरीत चलेको यस्तो संस्था खारेज गर्न सत्ता पक्ष र विपक्ष बसेर देशभर बाट धपाउनु किन नसकेको होला नि
positive, यो पुरानो फोटो अहिले भाइरल हुँदै रछ 
positive, 😂😂😂😂😂 हजुरलाइ पनि शुभ कामना
negative,सरकारी सिस्टम  डाउन भएपछि  देशरभरका सरकारी सेवा प्रभावित भएका छन् 
positive,कहिले सम्म डराउने 
neutral,  छिद्रहरू ठूलो भएन् र
positive,"   कामको सुरुवात समस्या पहिचान गरेर हुन्छ, यस अर्थमा ओली सरकारले दिशा समाउन खोजेको देखिन्छ"
positive,"नागरिकता जस्तो संवेदनशील बिषयमा सबैजना, सबै पार्टी ऐकजुट हुनै पर्छ अरु बिकल्प छैन्"
negative, सानोठिमी देखि मगरगाउ सम्म को सडक बत्ति एउटा पनि बल्दैन बत्ति कसले बनाउने होराति हिड्न अप्ठ्यारो हुनथाल्यो हामी जनतालाई…
positive, डा. भट्टराई ले आम नेपाली लाई प्रस्ट पारी दिनु पर्यो
positive,"""अज्ञानता मस्तिष्ककाे कालाे रात हाे, तर याे यस्ताे रात हाे जस्मा न चन्द्रमा हुन्छ न तारा"" - कन्फ्युशियस     "
positive,सेयर गराउला
negative, वालुवाटार जग्गा प्रकरणमा ज्यान लिने धम्की 
neutral,   दिउसाे खानितिरै हुन्छन बेलुकीपख नै निस्कने हुन राेडमा
negative, जनताको सरकारको नीति तथा कार्यक्रम सुन्न संसदमा आएको यहाँ त राष्ट्रपतिज्यूको निजी सरकारको कार्यक्रम पो रहेछ
positive,अब काकाले जनयुद्दको साथमा मधेशको फनयुद्दको समेत भारी बोक्ने भए
negative, प्राय ठुला देशहरुमा निरङ्कुसता हावी भएको पाइन्छ
positive, म सङ खाली हात भएर के भयोत आत्मियताको लागि जोड्न त सक्छुनी 🙏नमस्कार 🙏शुभ प्रभात 🙏
positive, नखाएको बिष लाग्दैन
negative,खासमा तिनिहरुलाइ कारबाही हुन्छ की हुंदैन जसले बिना जानकारी लेटर प्याड प्रयोग गरे त्यो पनि प्रधानमन्त्री सचिवालयको 
positive, 
positive,अग्रीम शुभकामना 
positive,  मलाइ नि ती सासुससुराको मया लाग्यो😂😂
positive,यत्रो घर ठड्यायो 
neutral," नवगठित पार्टी एकता ""पृथ्वीनारायण शाहपछिको राष्ट्रिय एकता"" भन्नुभयाे "
neutral,      भनेपछी मेरो सरकार भन्नू नै पर्थ्यो 
positive, 😂😂😂😂😂 पुराण चाहि राम्रो बाचन गर्नु हुदो रहिछ हाम्रो गाउमा सप्तहा पुराण लगाउने रे हजुरको नम्बर दिउ कि तिनलाइ 😂😂😂
negative, गणतन्त्रमा कवि हिरासतमा रसुवालि कविलाई रिहा गर अभिव्यक्ती र राजनैतिक हक सुनिश्चित गर संविधानतनागरिकको अभिब्यक्ती र…
negative,त्यति बेलामाओवादीको नेता बाबुराम र हत्या…
neutral, ‘कम-रेड’हरूमाथि कति सटीक ब्यंग्य
neutral,"  तपाइ भारतका मान्छे जस्तै हिड्ने, खाने, स्वाश फेर्ने किन गरेको"
positive,बौध्दिक पाखण्डको नमुना नबनाउ
neutral," गजल ""पैसा""मात्र तीन शेरसत्ये पैसाको मुख रातो की कालो हुन्छपैसा नै  मालीक  अरु  त गोठालो हुन्छकीनिन्छ बस्र रुपैयॉ तिरी…"
neutral," नया बानेश्वर देखि पुरानो बानेश्वर जाने बाटो मर्मत भएको धेरै दिन पुगिसक्यो, तर अहिले पनि तेहा जेब्रा क्रोसिंग…"
